uni,n,k,date,p,rot_spread,V_full,V_lw,V_pf0.5,V_pf1.0,V_pf2.0,V_uni
mid,252,5,2023-02-01,387,0.26445879029413755,0.09974498912740393,0.1318458122518391,0.08676099793849398,0.08981627530804337,0.09579145965654662,0.10965514143912365
mid,252,5,2023-03-01,387,0.255965467370692,0.1421441284249074,0.17163469887807528,0.1761473084010775,0.188125799812624,0.20005486295003855,0.2293765013147451
mid,252,5,2023-04-03,388,0.3515227584721058,0.1341686648470967,0.15235499722931983,0.10467934855524447,0.10639386583309098,0.11054825037975552,0.13210117253478454
mid,252,5,2023-05-01,388,0.3821064679468664,0.14566629395351954,0.13902804690146187,0.07939001382244401,0.07761890897012107,0.09110834116624811,0.14646933827993266
mid,252,5,2023-06-01,388,0.38097194242479626,0.09351353659894565,0.13931097937159423,0.10851760995797669,0.1257163811431052,0.14274813460083763,0.1672760801028607
mid,252,5,2023-07-03,388,0.4645074115045443,0.11178222447082305,0.08794004753083652,0.07220111905383052,0.07183954818526636,0.07810887918965219,0.11017345317762295
mid,252,5,2023-08-01,388,0.5622968909936623,0.0830675849111994,0.1308981570069681,0.07525327865748571,0.07972032799089739,0.08675665211379473,0.1116555323020383
mid,252,5,2023-09-01,388,0.5305948866181085,0.07815862361383363,0.13516363366560658,0.10474782931184007,0.11699958725910636,0.12667025801565074,0.13067553124893197
mid,252,5,2023-10-02,389,0.45527876578197185,0.12099718586637119,0.10594672204539113,0.1271933918473912,0.13801150039685303,0.1499619152419538,0.17034450191062525
mid,252,5,2023-11-01,389,0.5044919575454686,0.09152969616681624,0.14736699933219077,0.10660807823199757,0.12378908876220866,0.14524688277097328,0.18849167374010517
mid,252,5,2023-12-01,389,0.5489304956860305,0.17212730472019155,0.13879762182596386,0.10850163509708631,0.11041858240031861,0.12393594215161578,0.15889461704187138
mid,252,5,2024-01-02,389,0.5442790364887833,0.0793392447019258,0.08994905249655745,0.10456175693309366,0.11538421186168239,0.12527238119137601,0.1490358043025744
mid,252,5,2024-02-01,389,0.4909481201875436,0.08071931625726,0.1180159404828392,0.0875691070658,0.10234732470760176,0.11806777409120232,0.14731732812754178
mid,252,5,2024-03-01,390,0.4247900812594819,0.08324954166464317,0.10092237485402084,0.07131626122403362,0.07602926391219966,0.0827975519510692,0.10283596053793743
mid,252,5,2024-04-01,391,0.4424738924084689,0.09004548300829887,0.09817084660016157,0.09158394878421511,0.09946632380961486,0.109093400241764,0.13384042122711323
mid,252,5,2024-05-01,391,0.4815638674222644,0.0929055700915416,0.11102627907723056,0.09211889579342963,0.1010654532492348,0.11051555894679918,0.12029898572567063
mid,252,5,2024-06-03,391,0.3553682904055019,0.07978808656625011,0.07457828983360063,0.07436923962036193,0.08848114180974881,0.10359491781431815,0.10940440916591994
mid,252,5,2024-07-01,394,0.2529318750424018,0.07902574543222764,0.08054744921061663,0.09953093249373361,0.11471974047582376,0.135718520921029,0.15599121716296427
mid,252,5,2024-08-01,395,0.22674117679135802,0.12560260025508152,0.10661224216386958,0.13423119043792509,0.14953848356385696,0.17123147467446914,0.1922766821134415
mid,252,5,2024-09-03,395,0.27307871416805596,0.09015738002390912,0.10117480811703701,0.07485752953322367,0.07933462056164976,0.09236360044407502,0.10946083535262736
mid,252,5,2024-10-01,396,0.24443756952157117,0.08483837637525744,0.09360732999215719,0.08396243952658906,0.08787079202696108,0.09445241918823231,0.1030598885099821
mid,252,5,2024-11-01,396,0.2906369388851998,0.14077343026159464,0.09340935599796886,0.14814858191720787,0.1560728738754586,0.16838768517836486,0.18136724906987173
mid,252,5,2024-12-02,396,0.44964799533920435,0.1024527291487818,0.10451128414302109,0.11772509179682697,0.12568348336079063,0.13465242651951717,0.14274646231076743
mid,252,5,2025-01-02,396,0.37341886679072467,0.1275712986579909,0.1302112782024593,0.11418511905071374,0.11673257518108197,0.12316906561059526,0.12464048319990817
mid,252,5,2025-02-03,396,0.3218588331312729,0.09745362783195191,0.114774849251274,0.09568730751764512,0.10443631763756521,0.11565169537850047,0.12678231438992082
mid,252,5,2025-03-03,397,0.3072435636326098,0.13129395018078432,0.11886833603185079,0.1351876368127287,0.1488214829518023,0.16422665652541296,0.18010523825024016
mid,252,5,2025-04-01,397,0.28576315173880323,0.3447607750672805,0.2567344120760584,0.3391751322644412,0.3663058147315278,0.4014891439048174,0.4425588418627672
mid,252,5,2025-05-01,398,0.38494531763058687,0.15211739090181622,0.1300379597111226,0.11340268112496044,0.1252262088360108,0.14421921539528393,0.17371989972913285
mid,252,5,2025-06-02,398,0.2501361161366466,0.08773637078141477,0.08302437940025825,0.08022125552697391,0.08234529709435048,0.08577515565146594,0.10326017036344462
mid,252,5,2025-07-01,398,0.23265815416161376,0.10245565559209549,0.13468998892045494,0.09149009014066425,0.09778092098449706,0.10548126959060095,0.11830663601563184
mid,252,5,2025-08-01,398,0.27003070507446514,0.0913533931645553,0.13583655341741452,0.0837146916278457,0.09349227732242697,0.10462202143070745,0.13395584745187133
mid,252,5,2025-09-02,398,0.33958350011589095,0.07691137841191939,0.0991826918435895,0.07923648776562527,0.08636767310248737,0.09355191947118524,0.1011480170585489
mid,252,5,2025-10-01,398,0.3001670355387363,0.11310849705680771,0.12614125145661512,0.07767670737076494,0.08310353939929589,0.09228299862066716,0.12200942856207093
mid,252,5,2025-11-03,399,0.35196366342610036,0.11379446259076567,0.10286104483954045,0.10515620158867543,0.11140212812186474,0.1210035265361262,0.148059711743884
mid,252,5,2025-12-01,399,0.42238201931567065,0.0711150142872268,0.08547605980823322,0.07473946104335004,0.07548319922816663,0.07760989455067777,0.09125253110487506
mid,252,5,2026-01-02,399,0.5046836621638803,0.118729177848465,0.1057793880719503,0.06334840918655636,0.07307675475791627,0.08618110660956749,0.11962508807513593
mid,252,5,2026-02-02,399,0.6064541892204083,0.18487439032879424,0.1780409662986138,0.07450038041948703,0.09350419053446851,0.11098294767901916,0.14726197234401053
mid,252,5,2026-03-02,399,0.5032381040908933,0.17544396066979678,0.13794445269426003,0.11541329605659638,0.1111284107617925,0.1153145778732404,0.1632375400035878
mid,252,5,2026-04-01,399,0.45198688699487477,0.14787755561415816,0.11572477430702877,0.09986849713391463,0.09152408342676555,0.092668715723896,0.11292051080546964
mid,252,5,2026-05-01,399,0.3466709140936121,0.09861473980937464,0.08609293143527902,0.07181694243977094,0.070724712130743,0.0819181162999466,0.095420773036677
mid,252,5,2026-06-01,399,0.2934345579167852,0.12813464518735893,0.0736357989810715,0.10697249333282893,0.09974986824218114,0.09852555664935522,0.09797193355230378
mid,252,5,2026-07-01,399,0.16764315861523035,0.11843425556558565,0.09820554705952914,0.10540546188617705,0.09880448244774674,0.09240122448541849,0.09120389929670183
small,63,5,2018-05-01,503,0.5987644971765876,0.04979494672410336,0.0654757746757542,0.08090195592946588,0.08521726989598435,0.08835415682549456,0.0913524398945334
small,63,5,2018-06-01,506,0.5592852249683694,0.06453582951951155,0.10530949248472445,0.09770688680524496,0.10047940197044565,0.10287236488448187,0.10657506986171954
small,63,5,2018-07-02,507,0.3206046002393209,0.06018890397607835,0.05895522281290372,0.09795258335423773,0.10525695977591772,0.11015044790812029,0.1053933411268584
small,63,5,2018-08-01,508,0.268679568978372,0.043774617287007274,0.06120366120418186,0.07714012170040468,0.08243892414201882,0.08612879642803291,0.08457278379309463
small,63,5,2018-09-04,512,0.473632315049409,0.06760229471246705,0.0800726748347462,0.07495327595072125,0.07733928652779042,0.08025377665054,0.0827595620533012
small,63,5,2018-10-01,513,0.430715936168672,0.11128861181330157,0.16973693215212118,0.21450173229206781,0.22781668376863104,0.23713812071354082,0.23520976541329774
small,63,5,2018-11-01,516,0.5071638456773333,0.05404854166126418,0.1057080718778792,0.1270627469837351,0.14296021951027288,0.15789974469639106,0.16929529278506525
small,63,5,2018-12-03,516,0.5483082761537275,0.161257680733283,0.1810735449438273,0.23956435029800968,0.2565861080628249,0.271870386407742,0.2886395457372788
small,63,5,2019-01-02,517,0.6196258890764117,0.06381646804191293,0.10754709921678984,0.10497970376515989,0.1169063029075385,0.13072167457409414,0.1691033906789724
small,63,5,2019-02-01,519,0.6631750845814408,0.0792563657985078,0.09953054243507424,0.0790583364272405,0.08271485905221698,0.0872115578679504,0.1044349386997856
small,63,5,2019-03-01,521,0.66681543977016,0.09092646580147175,0.09498438763145342,0.12688817528490204,0.14224553157283723,0.15442305469088746,0.18223904682033296
small,63,5,2019-04-01,521,0.6443041384828438,0.06732086812388513,0.07993625141974367,0.09673793545540624,0.1033658970709311,0.10805504825808836,0.11802588521211797
small,63,5,2019-05-01,521,0.6140891137252227,0.07485868471547678,0.08902580554222483,0.14597832741283595,0.16116734969737778,0.17093179848354007,0.17979272966868437
small,63,5,2019-06-03,521,0.6200547824511226,0.09628678581931091,0.08388793137525688,0.11066871491468477,0.12105107884486456,0.13021025262504113,0.14745575736745653
small,63,5,2019-07-01,522,0.5992373528011417,0.05479764984532391,0.0636363906684419,0.09225937104020479,0.09953692011862134,0.10695532666521192,0.12771981231168883
small,63,5,2019-08-01,524,0.618109412544247,0.12539934124568036,0.14384825449434005,0.18521742780890627,0.20193160204422675,0.21460268927468398,0.24478207215792117
small,63,5,2019-09-03,525,0.6719585141945159,0.04787754169057972,0.09570909935586895,0.10791798250327159,0.12547181825158457,0.13866337836349238,0.18047804659243194
small,63,5,2019-10-01,527,0.6724712597026051,0.07445421151851128,0.08215903773657512,0.08976888943472916,0.09997358694712695,0.10773026003299153,0.13619895293786746
small,63,5,2019-11-01,527,0.6325319098575235,0.08548721238297971,0.08216993840545501,0.06943234324154411,0.07255064126581234,0.07763817149153278,0.09485163027475084
small,63,5,2019-12-02,527,0.6440366638195453,0.07053172564864088,0.053328580345640704,0.055557966137046784,0.05799761908780803,0.06058615903878222,0.07723262599207768
small,63,5,2020-01-02,528,0.45676219074149166,0.08172668803407614,0.08747569517509642,0.11732872033992671,0.12307657605869995,0.12792607105906448,0.13010129562331776
small,63,5,2020-02-03,530,0.5642808274448323,0.24938721710370318,0.21433387285286679,0.2297947295702596,0.23995035188533656,0.24737701363738557,0.2500995121654871
small,63,5,2020-03-02,530,0.6041027514935385,1.035950709677674,0.9622295852788485,1.0217579044073137,1.0400661482533748,1.0515150844769063,1.0957789505537914
small,63,5,2020-04-01,530,0.5263778871776443,0.2360083938336251,0.26782218536328084,0.3963386889100391,0.44628620967251736,0.49548183906435156,0.5711913824832142
small,63,5,2020-05-01,531,0.511766765153609,0.16202433627780774,0.15855088785794189,0.21955571512633898,0.27756048586711596,0.3359889335500194,0.43052286777209964
small,63,5,2020-06-01,532,0.5312630751186456,0.15919493619385133,0.1778215318835482,0.25045519724101245,0.29103700908881375,0.33727030775846834,0.4455226472079385
small,63,5,2020-07-01,532,0.6964425724593376,0.11146624657136017,0.1242873892335536,0.15784097970218752,0.17140664783008383,0.18144832612067896,0.25783041820651514
small,63,5,2020-08-03,533,0.5633568938912398,0.10538491817597731,0.11178781269790942,0.07989875879628788,0.08953183573264528,0.10089395695644451,0.15625085547392237
small,63,5,2020-09-01,533,0.59428371706097,0.13849331684407407,0.1552995648109607,0.2055662126903065,0.21949404534270497,0.23045259385504502,0.24604504077930286
small,63,5,2020-10-01,534,0.43455369847652914,0.13683930163875765,0.13540757952970908,0.16922878778607878,0.1860384136142299,0.2024147600830913,0.21465814741755593
small,63,5,2020-11-02,535,0.6472147281869564,0.1626252829219419,0.18467023830223944,0.21181985520825078,0.24080137661478748,0.262636494656338,0.3361465965672766
