book,model,window,n_obs,alpha_ann,t_alpha,R2,avg_gross,alpha_stress,beta_Mkt-RF,t_Mkt-RF,beta_SMB,t_SMB,beta_HML,t_HML,beta_RMW,t_RMW,beta_CMA,t_CMA,beta_Mom,t_Mom,beta_TSMOM,t_TSMOM,beta_QQQRES,t_QQQRES
trend_vol_qqq,M1,full_IN-SAMPLE,2779,0.10119340674616371,1.9027292293731106,0.44024158434287686,1.3695473756656167,0.09153435057908099,0.7394600526271079,7.210125307065181,0.023316965513774796,0.4770400865759443,-0.18110823572805704,-2.8660191537838555,-0.014460075708950157,-0.2457284667137301,-0.2135617818725709,-2.3936355879345426,0.2725258488143341,6.205166882561211,,,,
trend_vol_qqq,M2,full_IN-SAMPLE,2779,0.10847153233174041,2.5865636832218564,0.6091782866635089,1.3695473756656167,0.09881247616465769,0.5229104073275924,5.856248781200534,-0.04712497980904577,-1.082596874337333,-0.1742331109397856,-3.457144619384631,0.01114442422651997,0.2287791560398419,-0.3172153278840947,-3.8287208166769644,0.11655487248923899,3.1821578699903847,0.6761347444333552,8.984344341156906,1.387078011124032,14.631157104470583
defensive_ensemble,M0,blind,1223,0.11658872461737652,2.2534769576637594,0.33207482083823125,1.9225981137770942,0.07840372392825817,0.47614726567275095,10.793680456255524,,,,,,,,,,,,,,
defensive_ensemble,M1,blind,1223,0.09516234052901423,2.013919969748635,0.4645012715183342,1.9225981137770942,0.0569773398398959,0.4607345227181466,11.899993477835284,0.08132410105523194,2.033293965296864,-0.10763416945026999,-2.5592826647042632,-0.15310434941631493,-3.156829330950145,0.04299490608927626,0.6911811021747362,0.3173922607659419,14.186705050561299,,,,
defensive_ensemble,M2,blind,1223,0.06724894360403808,1.7738033569450418,0.686182499586238,1.9225981137770942,0.02906394291491974,0.28639306004025855,8.874269231872844,-0.08040698526383294,-2.2652142801773723,-0.0648369349880901,-1.8688131786273787,-0.07608766227407314,-2.074955731167974,-0.09207514434804219,-1.842250519073323,0.1047418897266017,5.1843737814745605,0.7606135656946038,15.780137403565075,0.2969073495571751,4.315701241162224
defensive_ensemble,M0,full_IN-SAMPLE,2779,0.04766986267298066,1.4236922610113107,0.4092899763734319,1.8490323766800687,0.0254782521947479,0.5146065691384091,15.379894857781684,,,,,,,,,,,,,,
defensive_ensemble,M1,full_IN-SAMPLE,2779,0.03439384020072079,1.1398469100421567,0.5303222889510979,1.8490323766800687,0.012202229722488033,0.5281561318441494,15.61460969166771,-0.003384809095148742,-0.1230247699303141,-0.08532731451150824,-2.9633041894183028,-0.08070127527087616,-2.161998375000523,0.0027826444610409462,0.062363407215249626,0.2538507900141139,12.869716355300024,,,,
defensive_ensemble,M2,full_IN-SAMPLE,2779,0.04292843990425682,1.9285716498292544,0.7372408730970805,1.8490323766800687,0.020736829426024065,0.3074914253501001,11.78970483278297,-0.07849671309311787,-3.876104061311114,-0.0795636733851757,-3.6124711187304874,-0.0557321451718415,-2.029978628362256,-0.09099816264808336,-2.684450365839685,0.09054198980886657,6.470040233370304,0.7044792753972907,18.13102080363847,0.4470157734701513,11.188511182872483
dual_momentum_gold,M0,blind,1223,0.21105837323149196,1.9478493422648577,0.1469569519868721,1.4243630573248407,0.19349460045284905,0.5863782469257477,7.93877321748505,,,,,,,,,,,,,,
dual_momentum_gold,M1,blind,1223,0.17354750237304598,1.625954802257533,0.219974151033269,1.4243630573248407,0.1559837295944031,0.551561146223747,7.538766775957126,0.007235021837589906,0.09890341861804051,-0.0680027428058532,-0.7912783037713719,-0.19658261424660842,-1.8465978621938,-0.22885471439328367,-1.8757708764268717,0.43249805632997546,8.248467189935768,,,,
